Row ID,Team,Player,First Name,Last Name,Role,Country of Origin,Age,DoB,Majors,Data Last Updated as of:
127,paiN Gaming,kauez,Kaue,Kaschuk,Rifler,Brazil,21.85,8-May-03,,
128,paiN Gaming,nqz,Lucas,Soares,AWPer,Brazil,20.15,18-Jan-05,,
129,paiN Gaming,snow,João,Vinicius,Rifler,Brazil,17.97,22-Mar-07,,
130,paiN Gaming,dav1deuS,David,Maldonado,Rifler,Chile,24.76,7-Jun-00,,
131,paiN Gaming,rikz,Henrique,Waku,Coach,Brazil,34.17,13-Jan-91,,
132,MiBR,exit,Raphael,Lacerda,IGL,Brazil,28.54,29-Aug-96,,
133,MiBR,brnz4n,Breno,Poletto,Rifler,Brazil,21.55,26-Aug-03,,
134,MiBR,insani,Felipe,Yuji,Rifler,Brazil,20.88,25-Apr-04,,
135,MiBR,saffee,Rafael,Costa,AWPer,Brazil,30.24,19-Dec-94,,
136,MiBR,Lucaozy,Lucas,Neves,Rifler,Brazil,23.41,16-Oct-01,,
137,Mindfreak,tucks,Tyler,Reilly,Rifler,Australia,28.57,18-Aug-96,,
138,Mindfreak,gump,Maclane,Cross,Rifler,Australia,21.2,29-Dec-03,,
139,Mindfreak,pain,Kristian,Isaac,Rifler,Australia,21.53,30-Aug-03,,
140,Mindfreak,Texta,Matthew,O’Rourke,Rifler,Australia,23.65,19-Jul-01,,
141,Mindfreak,Rickeh,Joshua,Bundle,AWPer,Australia,33.31,22-Nov-91,,
142,Housebets,BRACE,Toby,Barnes,Rifler,Australia,25.57,17-Aug-99,,
143,Housebets,damyo,Damon,Portelli,Rifler,Australia,23.69,3-Jul-01,,
144,Housebets,yourwombat,William,Allchin,Rifler,Australia,25.55,25-Aug-99,,
145,Housebets,apocdud,Tom,Henry,IGL,Australia,26.12,31-Jan-99,,
146,Housebets,pz,Jordan,White,AWPer,Australia,25.41,16-Oct-99,,
